ID,Food,Event
1,Shortbread,After 
2,Inulin,Before
3,Chocolate,Before
4,Inulin,Before
5,Shortbread,Before
6,Shortbread,Before
7,RM,After 
8,RM,Before
9,QC,Middle
10,Shortbread,After 
11,RM,After 
12,RM,After 
13,RM,After 
14,Inulin,After 
15,RM,Before
16,RM,Before
17,RM,After 
18,QC,Middle
19,Chocolate,Before
20,RM,After 
21,Inulin,After 
22,Chocolate,Before
23,RM,Before
24,Shortbread,After 
25,RM,After 
26,Chocolate,After 
27,Chocolate,Before
28,Chocolate,Before
29,QC,Middle
30,Inulin,After 
31,Shortbread,After 
32,Inulin,After 
33,Inulin,Before
34,Chocolate,Before
35,Chocolate,After 
36,Chocolate,After 
37,RM,After 
38,QC,Middle
39,Inulin,Before
40,Chocolate,After 
41,Shortbread,After 
42,Shortbread,After 
43,RM,After 
44,Chocolate,After 
45,Inulin,Before
46,Shortbread,Before
47,RM,Before
48,QC,Middle
49,RM,After 
50,Inulin,After 
51,Shortbread,Before
52,RM,Before
53,Chocolate,After 
54,Inulin,Before
55,RM,Before
56,Shortbread,After 
57,Inulin,Before
58,RM,Before
59,QC,Middle
60,Chocolate,Before
61,Inulin,Before
62,Chocolate,Before
63,Chocolate,Before
64,Shortbread,Before
65,Shortbread,After 
66,Shortbread,After 
67,Chocolate,Before
68,RM,Before
69,Shortbread,After 
70,QC,Middle
71,Inulin,After 
72,Inulin,Before
73,RM,Before
74,RM,Before
75,Inulin,Before
76,Chocolate,Before
77,Inulin,After 
78,Shortbread,Before
79,RM,Before
80,Shortbread,Before
81,QC,Middle
82,Inulin,Before
83,Shortbread,After 
84,Shortbread,Before
85,RM,After 
86,Shortbread,After 
87,Chocolate,After 
88,Inulin,After 
89,Chocolate,Before
90,Shortbread,Before
91,Chocolate,After 
92,QC,Middle
93,Chocolate,After 
94,Chocolate,Before
95,Shortbread,After 
96,RM,Before
97,Chocolate,Before
98,Inulin,Before
99,Chocolate,After 
100,RM,After 
101,Shortbread,Before
102,Chocolate,Before
103,QC,Middle
104,Chocolate,After 
105,Inulin,After 
106,Shortbread,Before
107,Inulin,Before
108,RM,After 
109,Shortbread,After 
110,Inulin,After 
111,Inulin,Before
112,RM,Before
113,Inulin,After 
114,QC,Middle
115,Shortbread,After 
116,Shortbread,After 
117,Chocolate,Before
118,RM,After 
119,Inulin,Before
120,Inulin,After 
121,RM,After 
122,Chocolate,Before
123,Shortbread,Before
124,Chocolate,After 
125,QC,Middle
126,Shortbread,Before
127,Inulin,Before
128,Inulin,After 
129,RM,After 
130,Inulin,Before
131,Shortbread,After 
132,Chocolate,After 
133,Shortbread,Before
134,Inulin,After 
135,RM,Before
136,QC,Middle
137,RM,Before
138,Inulin,After 
139,Chocolate,Before
140,Shortbread,After 
141,RM,After 
142,Inulin,Before
143,Inulin,Before
144,Inulin,After 
145,Inulin,After 
146,Inulin,After 
147,QC,Middle
148,RM,After 
149,Chocolate,Before
150,Shortbread,Before
151,RM,After 
152,Shortbread,Before
153,Shortbread,After 
154,Chocolate,After 
155,Inulin,Before
156,RM,Before
157,Inulin,After 
158,QC,Middle
159,Shortbread,Before
160,Chocolate,Before
161,Chocolate,Before
162,Chocolate,After 
163,Inulin,Before
164,Chocolate,After 
165,Inulin,After 
166,RM,After 
167,Chocolate,After 
168,Chocolate,Before
169,Inulin,Before
170,RM,Before
171,Chocolate,After 
172,RM,Before
173,Shortbread,After 
174,RM,Before
175,Shortbread,Before
176,QC,Middle
177,Chocolate,After 
178,RM,Before
179,Chocolate,Before
180,Shortbread,Before
181,Chocolate,After 
182,Chocolate,Before
183,Shortbread,Before
184,QC,Middle
185,Shortbread,After 
186,Shortbread,Before
187,Shortbread,Before
188,Chocolate,After 
189,RM,Before
190,Shortbread,After 
191,Chocolate,After 
192,Inulin,After 
193,Inulin,After 
194,Shortbread,Before
195,QC,Middle
196,Shortbread,After 
197,Inulin,Before
198,QC,Middle
199,Inulin,Before
200,Chocolate,After 
201,RM,After 
202,Shortbread,Before
